Node_A,Node_B,weight
0,1,22680
0,2,97360
0,3,28120
0,4,38520
0,5,28560
1,2,21000
1,3,1520
1,4,24000
1,5,20960
2,3,52760
2,4,68320
2,5,35920
3,4,20840
3,5,8800
4,5,40840
6,7,24840
8,9,680
8,10,80
9,10,30720
11,12,3120
11,13,1720
11,14,80
11,15,1720
12,13,18960
12,14,7520
12,15,8480
13,14,5720
13,15,960
14,15,320
16,17,1720
16,18,15560
17,18,3960
19,20,24120
19,21,7040
20,21,20080
22,23,2480
22,24,2560
22,25,3120
22,26,4600
22,27,8280
23,24,6120
23,25,6240
23,26,25960
23,27,22520
24,25,43760
24,26,29120
24,27,22640
25,26,26560
25,27,17120
26,27,108280
28,29,760
28,30,600
29,30,680
31,32,11720
31,33,40
31,34,320
31,35,200
32,34,960
32,35,1240
33,35,360
36,37,32000
36,38,7520
37,38,8600
39,40,35960
39,41,14920
40,41,9640
42,43,1080
44,45,8960
44,46,2200
44,47,13840
44,48,680
45,46,5120
45,47,71840
45,48,11480
46,47,38200
46,48,12760
47,48,78840
49,50,3920
49,51,8560
49,52,4880
50,51,1440
50,52,3440
51,52,1080
53,54,1720
53,55,24360
53,56,4160
53,57,12000
53,58,1640
54,55,27760
54,56,2640
54,57,11400
54,58,7840
55,56,14840
55,57,22440
55,58,27360
56,57,90680
56,58,1760
57,58,12760
59,60,9960
59,61,11960
59,62,1680
59,63,41280
60,61,52960
60,62,760
60,63,15560
61,62,4680
61,63,19680
62,63,2240
64,65,10000
64,66,3960
65,66,8960
67,68,17400
67,69,14200
67,71,24560
67,72,11520
68,69,10720
68,70,40
68,71,5880
68,72,5960
69,70,200
69,71,65440
69,72,43080
70,71,280
70,72,160
71,72,223440
73,74,1240
73,75,400
73,76,8280
73,77,1120
73,78,12880
73,79,2520
74,75,5920
74,76,1080
74,77,280
74,78,18280
74,79,2840
75,76,4280
75,77,1720
75,78,9480
75,79,2920
76,77,2160
76,78,39920
76,79,7760
77,78,15600
77,79,5840
78,79,82960
80,81,280
80,82,40
81,82,120
83,84,9360
83,85,1880
83,86,6080
83,87,8400
84,85,3000
84,86,8120
84,87,19200
85,86,29760
85,87,18880
86,87,11800
88,89,6600
88,90,2160
88,91,10840
89,90,3320
89,91,2960
90,91,2600
92,93,43760
92,94,59040
93,94,48640
95,96,2160
95,97,480
95,98,40
96,97,14560
96,98,5360
97,98,6080
99,100,2760
101,102,2320
101,103,240
101,104,9480
102,103,12720
102,104,14520
103,104,8400
105,106,1240
105,107,1680
105,108,520
105,109,7600
106,107,4000
106,108,1320
106,109,3400
107,108,2080
107,109,5400
108,109,2920
110,111,74040
110,112,82720
110,113,15480
110,114,118440
111,112,56600
111,113,16960
111,114,67320
112,113,6600
112,114,36120
113,114,12040
115,116,22960
115,117,28160
116,117,9440
118,119,14840
118,120,4320
118,121,17280
118,122,3120
119,120,4880
119,121,5760
119,122,3720
120,121,59400
120,122,4280
121,122,5200
123,124,640
125,126,2000
125,127,7960
125,128,1400
126,127,2920
126,128,3840
127,128,7360
129,130,9560
131,132,2040
132,133,760
134,135,62160
134,136,19520
135,136,104560
137,138,3840
139,140,1920
139,142,1520
140,141,480
140,142,3240
143,144,560
143,145,16760
144,145,2480
146,147,200120
146,148,108280
147,148,46160
149,150,7640
149,151,13160
149,152,1600
149,153,28680
149,154,4680
150,151,1880
150,152,2280
150,153,13680
150,154,1400
151,152,6560
151,153,9480
151,154,1240
152,153,9400
152,154,1840
153,154,7040
155,156,2000
155,157,8320
155,158,13600
155,159,4240
155,160,6280
155,161,3520
155,162,2520
156,157,2400
156,158,240
156,159,8560
156,160,6800
156,161,1960
156,162,680
157,158,13080
157,159,5120
157,160,49120
157,161,720
157,162,400
158,159,1320
158,160,3080
158,161,1520
158,162,40
159,160,20080
159,161,1920
159,162,120
160,161,1120
160,162,400
161,162,1800
163,164,14680
163,165,40560
164,165,12440
166,167,2840
166,168,320
167,168,1840
169,170,2920
169,171,280
169,172,24480
169,173,21400
170,171,160
170,172,19280
170,173,17160
171,172,24840
171,173,16760
172,173,122520
174,175,10600
174,176,3160
175,176,3080
177,178,800
177,179,9680
177,180,4640
178,179,12040
178,180,7320
179,180,9240
181,182,10720
181,183,20320
182,183,22520
184,185,101160
184,186,29200
184,187,23640
185,186,59040
185,187,33240
186,187,16320
188,189,1640
190,191,1200
190,192,760
190,193,840
190,194,7720
190,195,6320
191,192,3320
191,193,360
191,194,5760
191,195,600
192,193,1600
192,194,9320
192,195,3760
193,194,760
193,195,800
194,195,14600
196,197,77760
196,198,6280
197,198,9160
199,200,86960
199,201,15240
199,202,520
199,203,24040
199,204,26520
200,201,31760
200,202,40
200,203,28960
200,204,26200
201,203,5840
201,204,7560
202,203,1040
202,204,1640
203,204,43480
205,206,79240
205,207,520
205,208,91400
205,209,11360
206,207,7800
206,208,84640
206,209,23400
207,208,9080
207,209,6240
208,209,95040
210,211,23280
212,213,1840
212,214,3600
212,215,1520
213,214,840
214,215,240
216,217,2560
218,220,4160
218,221,7000
219,220,240
220,221,23000
222,223,4320
222,224,51600
222,225,36960
223,224,7320
223,225,5400
224,225,82880
226,227,1640
226,228,440
226,229,320
227,228,5000
227,229,3040
228,229,13200
230,231,320
230,232,12200
230,233,1960
231,232,760
231,233,280
232,233,41400
234,235,5760
234,236,7000
235,236,10600
237,238,200
237,239,640
237,240,600
237,241,3520
237,242,2120
238,239,3800
238,240,240
238,241,800
238,242,1240
239,240,840
239,241,320
239,242,4160
240,241,240
240,242,480
241,242,1720
243,244,3400
245,246,8720
247,248,12400
248,249,120
249,250,80
251,252,1720
251,254,680
252,253,7480
252,254,1160
255,256,6560
255,257,3160
255,258,2160
255,259,8680
256,257,5800
256,258,3160
256,259,33400
257,258,8320
257,259,3400
258,259,5040
260,261,120
262,263,840
262,264,80
263,264,720
265,266,7400
265,267,8040
266,267,2360
268,269,15280
268,270,21120
269,270,17680
271,272,4240
271,273,480
272,273,16040
272,274,12200
273,274,54960
275,276,10320
275,277,3160
275,278,34480
276,277,12560
276,278,64640
277,278,33520
279,280,200
279,281,720
279,282,840
279,283,5800
280,281,4680
280,282,3160
280,283,10200
281,282,8760
281,283,82000
282,283,44280
284,285,1960
284,286,1120
284,287,1280
284,288,520
285,286,680
285,287,40
286,287,12840
286,288,6800
287,288,2440
289,291,8280
289,292,7040
290,291,57720
290,292,2280
291,292,4960
293,294,2880
293,295,160
294,295,1200
296,297,2040
296,298,120
296,299,440
297,298,1720
297,299,720
298,299,10920
300,301,3880
300,302,1320
301,302,16760
303,304,3720
303,305,40
303,307,80
303,308,40
304,305,4200
304,306,280
304,308,1200
305,306,880
305,308,520
306,307,360
306,308,680
307,308,1080
309,310,1240
309,311,280
309,312,1600
309,313,240
309,314,8000
310,311,15320
310,312,123560
310,313,12920
310,314,5440
311,312,23080
311,313,17080
311,314,840
312,313,13720
312,314,17280
313,314,2760
315,316,1520
315,318,1040
316,317,13400
316,318,69720
317,318,10520
319,320,2680
319,321,120
319,322,15400
320,321,280
320,322,5240
321,322,640
323,324,2080
323,325,1160
323,326,12320
324,325,4160
324,326,3760
325,326,6000
327,328,2520
327,329,5080
328,329,34680
330,331,8200
330,332,20000
330,333,2720
330,334,29000
331,332,8800
331,333,4800
331,334,18280
332,333,6200
332,334,29960
333,334,23880
335,336,70480
335,337,17000
336,337,172160
338,339,3000
