profile,beta,gamma,strategy,budget_k_pct,budget_k_nodes,mean_infected_per_hh,reduction_vs_baseline_pct,prevention_rate_pct,transmission_coverage,precision_k_pct,n_runs,marginal_sir_reduction_gain_pct
smoke,0.25,0.1,betweenness,1,3,3.2008,5.0419,0.6536,0.3497,66.6667,3,5.0419
smoke,0.25,0.1,betweenness,2,6,3.1781,5.6483,2.6144,1.3986,50.0,3,0.6064
smoke,0.25,0.1,betweenness,3,10,3.2159,4.5691,5.2288,2.7972,60.0,3,-1.0792
smoke,0.25,0.1,betweenness,4,13,3.1742,5.7215,6.5359,3.4965,61.5385,3,1.1524
smoke,0.25,0.1,betweenness,5,17,3.0076,10.7532,11.7647,6.2937,64.7059,3,5.0317
smoke,0.25,0.1,betweenness,6,20,3.0303,10.0599,14.3791,7.6923,65.0,3,-0.6933
smoke,0.25,0.1,betweenness,7,23,2.9129,13.5482,19.6078,10.4895,69.5652,3,3.4884
smoke,0.25,0.1,betweenness,8,27,2.8409,15.6336,22.8758,12.2378,70.3704,3,2.0853
smoke,0.25,0.1,betweenness,9,30,2.7917,17.1013,26.7974,14.3357,70.0,3,1.4677
smoke,0.25,0.1,betweenness,10,34,2.7159,19.3335,30.719,16.4336,70.5882,3,2.2322
smoke,0.25,0.1,betweenness,11,37,2.4886,26.1684,34.6405,18.5315,70.2703,3,6.8349
smoke,0.25,0.1,betweenness,12,40,2.572,23.6557,39.8693,21.3287,72.5,3,-2.5127
smoke,0.25,0.1,betweenness,13,44,2.4167,28.2557,47.0588,25.1748,75.0,3,4.5999
smoke,0.25,0.1,betweenness,14,47,2.394,28.9455,49.6732,26.5734,74.4681,3,0.6898
smoke,0.25,0.1,betweenness,15,51,2.3864,29.1593,51.634,28.6713,74.5098,3,0.2138
smoke,0.25,0.1,betweenness,16,54,2.2462,33.2918,53.5948,30.4196,74.0741,3,4.1325
smoke,0.25,0.1,betweenness,17,57,2.2955,31.8937,54.902,31.4685,73.6842,3,-1.398
smoke,0.25,0.1,betweenness,18,61,2.1932,34.9238,57.5163,33.5664,75.4098,3,3.0301
smoke,0.25,0.1,betweenness,19,64,2.1629,35.8323,59.4771,34.6154,73.4375,3,0.9085
smoke,0.25,0.1,betweenness,20,68,2.0492,39.1421,62.0915,37.4126,75.0,3,3.3098
smoke,0.25,0.1,degree,1,3,3.303,2.0114,4.5752,2.4476,100.0,3,2.0114
smoke,0.25,0.1,degree,2,6,3.2121,4.5928,7.8431,5.2448,100.0,3,2.5814
smoke,0.25,0.1,degree,3,10,3.178,5.6935,7.8431,5.9441,70.0,3,1.1007
smoke,0.25,0.1,degree,4,13,3.1136,7.5564,7.8431,6.6434,61.5385,3,1.8629
smoke,0.25,0.1,degree,5,17,3.0455,9.5617,10.4575,8.3916,64.7059,3,2.0053
smoke,0.25,0.1,degree,6,20,3.1174,7.542,10.4575,9.0909,65.0,3,-2.0197
smoke,0.25,0.1,degree,7,23,3.0455,9.6122,16.3399,12.2378,65.2174,3,2.0702
smoke,0.25,0.1,degree,8,27,3.0114,10.6827,16.9935,13.6364,62.963,3,1.0706
smoke,0.25,0.1,degree,9,30,2.8864,14.3409,16.9935,14.3357,63.3333,3,3.6582
smoke,0.25,0.1,degree,10,34,2.7651,17.8641,22.2222,17.1329,64.7059,3,3.5232
smoke,0.25,0.1,degree,11,37,2.8068,16.642,22.2222,17.8322,62.1622,3,-1.2221
smoke,0.25,0.1,degree,12,40,2.8219,16.2765,24.183,19.9301,65.0,3,-0.3655
smoke,0.25,0.1,degree,13,44,2.7386,18.6466,24.183,20.6294,63.6364,3,2.3702
smoke,0.25,0.1,degree,14,47,2.7311,18.952,24.183,20.979,61.7021,3,0.3054
smoke,0.25,0.1,degree,15,51,2.7689,17.8281,26.7974,22.3776,60.7843,3,-1.1239
smoke,0.25,0.1,degree,16,54,2.6932,20.1237,26.7974,23.4266,59.2593,3,2.2956
smoke,0.25,0.1,degree,17,57,2.6288,22.0114,26.7974,23.7762,57.8947,3,1.8877
smoke,0.25,0.1,degree,18,61,2.678,20.5519,31.3725,26.2238,59.0164,3,-1.4595
smoke,0.25,0.1,degree,19,64,2.6099,22.4975,34.6405,27.972,59.375,3,1.9456
smoke,0.25,0.1,degree,20,68,2.5871,23.1896,34.6405,29.7203,61.7647,3,0.692
smoke,0.25,0.1,gnn,1,3,3.3371,0.972,1.3072,0.6993,100.0,3,0.972
smoke,0.25,0.1,gnn,2,6,3.2008,5.0144,1.9608,1.049,100.0,3,4.0424
smoke,0.25,0.1,gnn,3,10,3.0227,10.3525,7.8431,4.8951,100.0,3,5.3381
smoke,0.25,0.1,gnn,4,13,3.0682,8.9043,14.3791,8.042,100.0,3,-1.4482
smoke,0.25,0.1,gnn,5,17,2.928,13.062,17.6471,11.5385,100.0,3,4.1577
smoke,0.25,0.1,gnn,6,20,2.8561,15.2522,19.6078,13.986,100.0,3,2.1902
smoke,0.25,0.1,gnn,7,23,2.8523,15.342,20.915,15.035,95.6522,3,0.0898
smoke,0.25,0.1,gnn,8,27,2.5454,24.5038,24.183,16.7832,96.2963,3,9.1618
smoke,0.25,0.1,gnn,9,30,2.6439,21.5075,24.183,17.4825,96.6667,3,-2.9964
smoke,0.25,0.1,gnn,10,34,2.644,21.5532,28.1046,19.9301,94.1176,3,0.0457
smoke,0.25,0.1,gnn,11,37,2.6288,21.9317,30.0654,20.979,91.8919,3,0.3785
smoke,0.25,0.1,gnn,12,40,2.5454,24.4347,32.0261,22.028,90.0,3,2.503
smoke,0.25,0.1,gnn,13,44,2.322,31.1153,36.6013,25.5245,90.9091,3,6.6806
smoke,0.25,0.1,gnn,14,47,2.4091,28.4883,36.6013,26.9231,89.3617,3,-2.627
smoke,0.25,0.1,gnn,15,51,2.447,27.3349,39.8693,28.6713,88.2353,3,-1.1534
smoke,0.25,0.1,gnn,16,54,2.3561,30.0977,42.4837,30.7692,87.037,3,2.7628
smoke,0.25,0.1,gnn,17,57,2.3523,30.2028,43.7908,31.4685,85.9649,3,0.1051
smoke,0.25,0.1,gnn,18,61,2.3447,30.419,48.366,34.965,86.8852,3,0.2162
smoke,0.25,0.1,gnn,19,64,2.1439,36.3982,54.2484,38.1119,87.5,3,5.9792
smoke,0.25,0.1,gnn,20,68,2.1818,35.2782,54.2484,40.2098,86.7647,3,-1.1201
smoke,0.25,0.1,random,1,3,3.3636,0.1834,3.7037,1.9814,77.7778,3,0.1834
smoke,0.25,0.1,random,2,6,3.2197,4.4937,5.4466,2.9138,66.6667,3,4.3103
smoke,0.25,0.1,random,3,10,3.2917,2.2793,11.7647,6.7599,80.0,3,-2.2144
smoke,0.25,0.1,random,4,13,3.1591,6.199,16.5578,8.7413,76.9231,3,3.9197
smoke,0.25,0.1,random,5,17,3.1023,7.8637,15.9041,8.3916,68.6274,3,1.6647
smoke,0.25,0.1,random,6,20,3.053,9.3572,17.8649,10.1399,68.3333,3,1.4935
smoke,0.25,0.1,random,7,23,2.9811,11.5134,23.9652,13.0536,76.8116,3,2.1563
smoke,0.25,0.1,random,8,27,2.8447,15.6088,26.5795,16.6667,67.9013,3,4.0954
smoke,0.25,0.1,random,9,30,2.875,14.6822,30.0654,16.4336,66.6667,3,-0.9266
smoke,0.25,0.1,random,10,34,2.7841,17.4186,33.769,19.697,75.4902,3,2.7364
smoke,0.25,0.1,random,11,37,2.6742,20.6484,35.7298,20.979,73.8739,3,3.2298
smoke,0.25,0.1,random,12,40,2.6629,20.9627,33.7691,20.7459,67.5,3,0.3143
smoke,0.25,0.1,random,13,44,2.6061,22.6456,41.3943,24.1259,68.1818,3,1.6829
smoke,0.25,0.1,random,14,47,2.6553,21.1907,40.0872,24.0093,63.8298,3,-1.455
smoke,0.25,0.1,random,15,51,2.5758,23.5019,45.3159,28.9044,71.8955,3,2.3112
smoke,0.25,0.1,random,16,54,2.4849,26.2596,50.7625,31.5851,75.3086,3,2.7577
smoke,0.25,0.1,random,17,57,2.4773,26.4782,52.7233,32.8671,74.8538,3,0.2186
smoke,0.25,0.1,random,18,61,2.4129,28.3654,53.8126,35.5478,72.6776,3,1.8872
smoke,0.25,0.1,random,19,64,2.3523,30.1635,54.2483,32.7506,70.3125,3,1.7981
smoke,0.25,0.1,random,20,68,2.2235,33.9645,57.9521,38.9277,73.0392,3,3.8009
