profile,strategy,budget_k_pct,budget_k_nodes,metric_name,point_estimate,lower_interval,upper_interval,method,n_resamples_or_runs
smoke,betweenness,1,3,final_mean_infected_per_hh,3.2008,3.0972,3.2915,percentile_interval_across_phase05_runs,3
smoke,betweenness,1,3,reduction_vs_baseline_pct,5.0419,2.5168,7.1302,percentile_interval_across_phase05_runs,3
smoke,betweenness,1,3,prevention_rate_pct,0.6536,0.6536,0.6536,percentile_interval_across_phase05_runs,3
smoke,betweenness,2,6,final_mean_infected_per_hh,3.1781,3.0177,3.3739,percentile_interval_across_phase05_runs,3
smoke,betweenness,2,6,reduction_vs_baseline_pct,5.6483,-0.1115,12.6674,percentile_interval_across_phase05_runs,3
smoke,betweenness,2,6,prevention_rate_pct,2.6144,2.6144,2.6144,percentile_interval_across_phase05_runs,3
smoke,betweenness,3,10,final_mean_infected_per_hh,3.2159,3.1619,3.2699,percentile_interval_across_phase05_runs,3
smoke,betweenness,3,10,reduction_vs_baseline_pct,4.5691,1.928,6.3561,percentile_interval_across_phase05_runs,3
smoke,betweenness,3,10,prevention_rate_pct,5.2288,5.2288,5.2288,percentile_interval_across_phase05_runs,3
smoke,betweenness,4,13,final_mean_infected_per_hh,3.1742,3.0915,3.3181,percentile_interval_across_phase05_runs,3
smoke,betweenness,4,13,reduction_vs_baseline_pct,5.7215,-1.2453,10.6828,percentile_interval_across_phase05_runs,3
smoke,betweenness,4,13,prevention_rate_pct,6.5359,6.5359,6.5359,percentile_interval_across_phase05_runs,3
smoke,betweenness,5,17,final_mean_infected_per_hh,3.0076,2.9886,3.0427,percentile_interval_across_phase05_runs,3
smoke,betweenness,5,17,reduction_vs_baseline_pct,10.7532,8.819,12.0969,percentile_interval_across_phase05_runs,3
smoke,betweenness,5,17,prevention_rate_pct,11.7647,11.7647,11.7647,percentile_interval_across_phase05_runs,3
smoke,betweenness,6,20,final_mean_infected_per_hh,3.0303,3.0233,3.0341,percentile_interval_across_phase05_runs,3
smoke,betweenness,6,20,reduction_vs_baseline_pct,10.0599,7.4322,12.6526,percentile_interval_across_phase05_runs,3
smoke,betweenness,6,20,prevention_rate_pct,14.3791,14.3791,14.3791,percentile_interval_across_phase05_runs,3
smoke,betweenness,7,23,final_mean_infected_per_hh,2.9129,2.9091,2.9199,percentile_interval_across_phase05_runs,3
smoke,betweenness,7,23,reduction_vs_baseline_pct,13.5482,11.2289,15.9357,percentile_interval_across_phase05_runs,3
smoke,betweenness,7,23,prevention_rate_pct,19.6078,19.6078,19.6078,percentile_interval_across_phase05_runs,3
smoke,betweenness,8,27,final_mean_infected_per_hh,2.8409,2.7353,2.908,percentile_interval_across_phase05_runs,3
smoke,betweenness,8,27,reduction_vs_baseline_pct,15.6336,11.2795,20.9698,percentile_interval_across_phase05_runs,3
smoke,betweenness,8,27,prevention_rate_pct,22.8758,22.8758,22.8758,percentile_interval_across_phase05_runs,3
smoke,betweenness,9,30,final_mean_infected_per_hh,2.7917,2.7,2.8512,percentile_interval_across_phase05_runs,3
smoke,betweenness,9,30,reduction_vs_baseline_pct,17.1013,13.0129,21.9884,percentile_interval_across_phase05_runs,3
smoke,betweenness,9,30,prevention_rate_pct,26.7974,26.7974,26.7974,percentile_interval_across_phase05_runs,3
smoke,betweenness,10,34,final_mean_infected_per_hh,2.7159,2.5989,2.804,percentile_interval_across_phase05_runs,3
smoke,betweenness,10,34,reduction_vs_baseline_pct,19.3335,14.4502,24.9095,percentile_interval_across_phase05_runs,3
smoke,betweenness,10,34,prevention_rate_pct,30.719,30.719,30.719,percentile_interval_across_phase05_runs,3
smoke,betweenness,11,37,final_mean_infected_per_hh,2.4886,2.3795,2.617,percentile_interval_across_phase05_runs,3
smoke,betweenness,11,37,reduction_vs_baseline_pct,26.1684,22.4826,28.7814,percentile_interval_across_phase05_runs,3
smoke,betweenness,11,37,prevention_rate_pct,34.6405,34.6405,34.6405,percentile_interval_across_phase05_runs,3
smoke,betweenness,12,40,final_mean_infected_per_hh,2.572,2.4313,2.658,percentile_interval_across_phase05_runs,3
smoke,betweenness,12,40,reduction_vs_baseline_pct,23.6557,19.0092,28.0654,percentile_interval_across_phase05_runs,3
smoke,betweenness,12,40,prevention_rate_pct,39.8693,39.8693,39.8693,percentile_interval_across_phase05_runs,3
smoke,betweenness,13,44,final_mean_infected_per_hh,2.4167,2.3875,2.4522,percentile_interval_across_phase05_runs,3
smoke,betweenness,13,44,reduction_vs_baseline_pct,28.2557,25.181,31.0211,percentile_interval_across_phase05_runs,3
smoke,betweenness,13,44,prevention_rate_pct,47.0588,47.0588,47.0588,percentile_interval_across_phase05_runs,3
smoke,betweenness,14,47,final_mean_infected_per_hh,2.394,2.3551,2.4199,percentile_interval_across_phase05_runs,3
smoke,betweenness,14,47,reduction_vs_baseline_pct,28.9455,26.2548,30.4824,percentile_interval_across_phase05_runs,3
smoke,betweenness,14,47,prevention_rate_pct,49.6732,49.6732,49.6732,percentile_interval_across_phase05_runs,3
smoke,betweenness,15,51,final_mean_infected_per_hh,2.3864,2.3437,2.4194,percentile_interval_across_phase05_runs,3
smoke,betweenness,15,51,reduction_vs_baseline_pct,29.1593,26.8134,32.2502,percentile_interval_across_phase05_runs,3
smoke,betweenness,15,51,prevention_rate_pct,51.634,51.634,51.634,percentile_interval_across_phase05_runs,3
smoke,betweenness,16,54,final_mean_infected_per_hh,2.2462,2.1841,2.3244,percentile_interval_across_phase05_runs,3
smoke,betweenness,16,54,reduction_vs_baseline_pct,33.2918,29.0788,36.8971,percentile_interval_across_phase05_runs,3
smoke,betweenness,16,54,prevention_rate_pct,53.5948,53.5948,53.5948,percentile_interval_across_phase05_runs,3
smoke,betweenness,17,57,final_mean_infected_per_hh,2.2955,2.2307,2.3602,percentile_interval_across_phase05_runs,3
smoke,betweenness,17,57,reduction_vs_baseline_pct,31.8937,30.0652,33.6792,percentile_interval_across_phase05_runs,3
smoke,betweenness,17,57,prevention_rate_pct,54.902,54.902,54.902,percentile_interval_across_phase05_runs,3
smoke,betweenness,18,61,final_mean_infected_per_hh,2.1932,2.1159,2.2994,percentile_interval_across_phase05_runs,3
smoke,betweenness,18,61,reduction_vs_baseline_pct,34.9238,31.8381,37.5905,percentile_interval_across_phase05_runs,3
smoke,betweenness,18,61,prevention_rate_pct,57.5163,57.5163,57.5163,percentile_interval_across_phase05_runs,3
smoke,betweenness,19,64,final_mean_infected_per_hh,2.1629,2.1256,2.2228,percentile_interval_across_phase05_runs,3
smoke,betweenness,19,64,reduction_vs_baseline_pct,35.8323,34.773,36.972,percentile_interval_across_phase05_runs,3
smoke,betweenness,19,64,prevention_rate_pct,59.4771,59.4771,59.4771,percentile_interval_across_phase05_runs,3
smoke,betweenness,20,68,final_mean_infected_per_hh,2.0492,1.9716,2.1012,percentile_interval_across_phase05_runs,3
smoke,betweenness,20,68,reduction_vs_baseline_pct,39.1421,35.8949,43.034,percentile_interval_across_phase05_runs,3
smoke,betweenness,20,68,prevention_rate_pct,62.0915,62.0915,62.0915,percentile_interval_across_phase05_runs,3
smoke,degree,1,3,final_mean_infected_per_hh,3.303,3.2079,3.4238,percentile_interval_across_phase05_runs,3
smoke,degree,1,3,reduction_vs_baseline_pct,2.0114,0.0492,4.8472,percentile_interval_across_phase05_runs,3
smoke,degree,1,3,prevention_rate_pct,4.5752,4.5752,4.5752,percentile_interval_across_phase05_runs,3
smoke,degree,2,6,final_mean_infected_per_hh,3.2121,3.0937,3.3852,percentile_interval_across_phase05_runs,3
smoke,degree,2,6,reduction_vs_baseline_pct,4.5928,-3.2076,9.1422,percentile_interval_across_phase05_runs,3
smoke,degree,2,6,prevention_rate_pct,7.8431,7.8431,7.8431,percentile_interval_across_phase05_runs,3
smoke,degree,3,10,final_mean_infected_per_hh,3.178,3.1159,3.2563,percentile_interval_across_phase05_runs,3
smoke,degree,3,10,reduction_vs_baseline_pct,5.6935,3.4417,8.6529,percentile_interval_across_phase05_runs,3
smoke,degree,3,10,prevention_rate_pct,7.8431,7.8431,7.8431,percentile_interval_across_phase05_runs,3
smoke,degree,4,13,final_mean_infected_per_hh,3.1136,2.9534,3.2449,percentile_interval_across_phase05_runs,3
smoke,degree,4,13,reduction_vs_baseline_pct,7.5564,1.1187,12.6139,percentile_interval_across_phase05_runs,3
smoke,degree,4,13,prevention_rate_pct,7.8431,7.8431,7.8431,percentile_interval_across_phase05_runs,3
smoke,degree,5,17,final_mean_infected_per_hh,3.0455,2.959,3.1319,percentile_interval_across_phase05_runs,3
smoke,degree,5,17,reduction_vs_baseline_pct,9.5617,4.4466,14.5046,percentile_interval_across_phase05_runs,3
smoke,degree,5,17,prevention_rate_pct,10.4575,10.4575,10.4575,percentile_interval_across_phase05_runs,3
smoke,degree,6,20,final_mean_infected_per_hh,3.1174,3.0063,3.2222,percentile_interval_across_phase05_runs,3
smoke,degree,6,20,reduction_vs_baseline_pct,7.542,6.9113,8.287,percentile_interval_across_phase05_runs,3
smoke,degree,6,20,prevention_rate_pct,10.4575,10.4575,10.4575,percentile_interval_across_phase05_runs,3
smoke,degree,7,23,final_mean_infected_per_hh,3.0455,3.0034,3.0682,percentile_interval_across_phase05_runs,3
smoke,degree,7,23,reduction_vs_baseline_pct,9.6122,6.4931,11.4572,percentile_interval_across_phase05_runs,3
smoke,degree,7,23,prevention_rate_pct,16.3399,16.3399,16.3399,percentile_interval_across_phase05_runs,3
smoke,degree,8,27,final_mean_infected_per_hh,3.0114,2.8693,3.1824,percentile_interval_across_phase05_runs,3
smoke,degree,8,27,reduction_vs_baseline_pct,10.6827,7.9268,14.8453,percentile_interval_across_phase05_runs,3
smoke,degree,8,27,prevention_rate_pct,16.9935,16.9935,16.9935,percentile_interval_across_phase05_runs,3
smoke,degree,9,30,final_mean_infected_per_hh,2.8864,2.8647,2.908,percentile_interval_across_phase05_runs,3
smoke,degree,9,30,reduction_vs_baseline_pct,14.3409,11.9729,16.0199,percentile_interval_across_phase05_runs,3
smoke,degree,9,30,prevention_rate_pct,16.9935,16.9935,16.9935,percentile_interval_across_phase05_runs,3
smoke,degree,10,34,final_mean_infected_per_hh,2.7651,2.6631,2.8897,percentile_interval_across_phase05_runs,3
smoke,degree,10,34,reduction_vs_baseline_pct,17.8641,11.8281,23.0575,percentile_interval_across_phase05_runs,3
smoke,degree,10,34,prevention_rate_pct,22.2222,22.2222,22.2222,percentile_interval_across_phase05_runs,3
smoke,degree,11,37,final_mean_infected_per_hh,2.8068,2.7182,2.9341,percentile_interval_across_phase05_runs,3
smoke,degree,11,37,reduction_vs_baseline_pct,16.642,10.5424,20.2879,percentile_interval_across_phase05_runs,3
smoke,degree,11,37,prevention_rate_pct,22.2222,22.2222,22.2222,percentile_interval_across_phase05_runs,3
smoke,degree,12,40,final_mean_infected_per_hh,2.8219,2.6261,2.9823,percentile_interval_across_phase05_runs,3
smoke,degree,12,40,reduction_vs_baseline_pct,16.2765,12.5635,22.1195,percentile_interval_across_phase05_runs,3
smoke,degree,12,40,prevention_rate_pct,24.183,24.183,24.183,percentile_interval_across_phase05_runs,3
smoke,degree,13,44,final_mean_infected_per_hh,2.7386,2.5903,2.8386,percentile_interval_across_phase05_runs,3
smoke,degree,13,44,reduction_vs_baseline_pct,18.6466,13.3933,25.1537,percentile_interval_across_phase05_runs,3
smoke,degree,13,44,prevention_rate_pct,24.183,24.183,24.183,percentile_interval_across_phase05_runs,3
smoke,degree,14,47,final_mean_infected_per_hh,2.7311,2.6943,2.7807,percentile_interval_across_phase05_runs,3
smoke,degree,14,47,reduction_vs_baseline_pct,18.952,17.5184,21.4428,percentile_interval_across_phase05_runs,3
smoke,degree,14,47,prevention_rate_pct,24.183,24.183,24.183,percentile_interval_across_phase05_runs,3
smoke,degree,15,51,final_mean_infected_per_hh,2.7689,2.7085,2.8165,percentile_interval_across_phase05_runs,3
smoke,degree,15,51,reduction_vs_baseline_pct,17.8281,15.1185,19.8065,percentile_interval_across_phase05_runs,3
smoke,degree,15,51,prevention_rate_pct,26.7974,26.7974,26.7974,percentile_interval_across_phase05_runs,3
smoke,degree,16,54,final_mean_infected_per_hh,2.6932,2.5829,2.8421,percentile_interval_across_phase05_runs,3
smoke,degree,16,54,reduction_vs_baseline_pct,20.1237,17.7745,23.3454,percentile_interval_across_phase05_runs,3
smoke,degree,16,54,prevention_rate_pct,26.7974,26.7974,26.7974,percentile_interval_across_phase05_runs,3
smoke,degree,17,57,final_mean_infected_per_hh,2.6288,2.5278,2.7329,percentile_interval_across_phase05_runs,3
smoke,degree,17,57,reduction_vs_baseline_pct,22.0114,19.0583,24.195,percentile_interval_across_phase05_runs,3
smoke,degree,17,57,prevention_rate_pct,26.7974,26.7974,26.7974,percentile_interval_across_phase05_runs,3
smoke,degree,18,61,final_mean_infected_per_hh,2.678,2.5966,2.7369,percentile_interval_across_phase05_runs,3
smoke,degree,18,61,reduction_vs_baseline_pct,20.5519,18.9541,21.9105,percentile_interval_across_phase05_runs,3
smoke,degree,18,61,prevention_rate_pct,31.3725,31.3725,31.3725,percentile_interval_across_phase05_runs,3
smoke,degree,19,64,final_mean_infected_per_hh,2.6099,2.5182,2.6694,percentile_interval_across_phase05_runs,3
smoke,degree,19,64,reduction_vs_baseline_pct,22.4975,18.5601,27.2414,percentile_interval_across_phase05_runs,3
smoke,degree,19,64,prevention_rate_pct,34.6405,34.6405,34.6405,percentile_interval_across_phase05_runs,3
smoke,degree,20,68,final_mean_infected_per_hh,2.5871,2.4937,2.6773,percentile_interval_across_phase05_runs,3
smoke,degree,20,68,reduction_vs_baseline_pct,23.1896,20.5534,27.8285,percentile_interval_across_phase05_runs,3
smoke,degree,20,68,prevention_rate_pct,34.6405,34.6405,34.6405,percentile_interval_across_phase05_runs,3
smoke,gnn,1,3,final_mean_infected_per_hh,3.3371,3.2972,3.3836,percentile_interval_across_phase05_runs,3
smoke,gnn,1,3,reduction_vs_baseline_pct,0.972,-1.5345,2.3538,percentile_interval_across_phase05_runs,3
smoke,gnn,1,3,prevention_rate_pct,1.3072,1.3072,1.3072,percentile_interval_across_phase05_runs,3
smoke,gnn,2,6,final_mean_infected_per_hh,3.2008,3.1722,3.2262,percentile_interval_across_phase05_runs,3
smoke,gnn,2,6,reduction_vs_baseline_pct,5.0144,3.1876,7.3828,percentile_interval_across_phase05_runs,3
smoke,gnn,2,6,prevention_rate_pct,1.9608,1.9608,1.9608,percentile_interval_across_phase05_runs,3
smoke,gnn,3,10,final_mean_infected_per_hh,3.0227,2.9011,3.1926,percentile_interval_across_phase05_runs,3
smoke,gnn,3,10,reduction_vs_baseline_pct,10.3525,7.6327,13.9031,percentile_interval_across_phase05_runs,3
smoke,gnn,3,10,prevention_rate_pct,7.8431,7.8431,7.8431,percentile_interval_across_phase05_runs,3
smoke,gnn,4,13,final_mean_infected_per_hh,3.0682,2.9813,3.1648,percentile_interval_across_phase05_runs,3
smoke,gnn,4,13,reduction_vs_baseline_pct,8.9043,3.558,11.8024,percentile_interval_across_phase05_runs,3
smoke,gnn,4,13,prevention_rate_pct,14.3791,14.3791,14.3791,percentile_interval_across_phase05_runs,3
smoke,gnn,5,17,final_mean_infected_per_hh,2.928,2.7711,3.0625,percentile_interval_across_phase05_runs,3
smoke,gnn,5,17,reduction_vs_baseline_pct,13.062,6.6752,18.0104,percentile_interval_across_phase05_runs,3
smoke,gnn,5,17,prevention_rate_pct,17.6471,17.6471,17.6471,percentile_interval_across_phase05_runs,3
smoke,gnn,6,20,final_mean_infected_per_hh,2.8561,2.7983,2.9171,percentile_interval_across_phase05_runs,3
smoke,gnn,6,20,reduction_vs_baseline_pct,15.2522,12.9917,17.1,percentile_interval_across_phase05_runs,3
smoke,gnn,6,20,prevention_rate_pct,19.6078,19.6078,19.6078,percentile_interval_across_phase05_runs,3
smoke,gnn,7,23,final_mean_infected_per_hh,2.8523,2.8079,2.916,percentile_interval_across_phase05_runs,3
smoke,gnn,7,23,reduction_vs_baseline_pct,15.342,13.4717,18.7427,percentile_interval_across_phase05_runs,3
smoke,gnn,7,23,prevention_rate_pct,20.915,20.915,20.915,percentile_interval_across_phase05_runs,3
smoke,gnn,8,27,final_mean_infected_per_hh,2.5454,2.4176,2.6443,percentile_interval_across_phase05_runs,3
smoke,gnn,8,27,reduction_vs_baseline_pct,24.5038,21.7501,26.3481,percentile_interval_across_phase05_runs,3
smoke,gnn,8,27,prevention_rate_pct,24.183,24.183,24.183,percentile_interval_across_phase05_runs,3
smoke,gnn,9,30,final_mean_infected_per_hh,2.6439,2.6046,2.6801,percentile_interval_across_phase05_runs,3
smoke,gnn,9,30,reduction_vs_baseline_pct,21.5075,18.2303,24.7495,percentile_interval_across_phase05_runs,3
smoke,gnn,9,30,prevention_rate_pct,24.183,24.183,24.183,percentile_interval_across_phase05_runs,3
smoke,gnn,10,34,final_mean_infected_per_hh,2.644,2.5949,2.6705,percentile_interval_across_phase05_runs,3
smoke,gnn,10,34,reduction_vs_baseline_pct,21.5532,20.8354,22.847,percentile_interval_across_phase05_runs,3
smoke,gnn,10,34,prevention_rate_pct,28.1046,28.1046,28.1046,percentile_interval_across_phase05_runs,3
smoke,gnn,11,37,final_mean_infected_per_hh,2.6288,2.5398,2.7017,percentile_interval_across_phase05_runs,3
smoke,gnn,11,37,reduction_vs_baseline_pct,21.9317,17.5705,26.6184,percentile_interval_across_phase05_runs,3
smoke,gnn,11,37,prevention_rate_pct,30.0654,30.0654,30.0654,percentile_interval_across_phase05_runs,3
smoke,gnn,12,40,final_mean_infected_per_hh,2.5454,2.492,2.5892,percentile_interval_across_phase05_runs,3
smoke,gnn,12,40,reduction_vs_baseline_pct,24.4347,21.9429,27.9485,percentile_interval_across_phase05_runs,3
smoke,gnn,12,40,prevention_rate_pct,32.0261,32.0261,32.0261,percentile_interval_across_phase05_runs,3
smoke,gnn,13,44,final_mean_infected_per_hh,2.322,2.2654,2.3625,percentile_interval_across_phase05_runs,3
smoke,gnn,13,44,reduction_vs_baseline_pct,31.1153,30.6529,31.7583,percentile_interval_across_phase05_runs,3
smoke,gnn,13,44,prevention_rate_pct,36.6013,36.6013,36.6013,percentile_interval_across_phase05_runs,3
smoke,gnn,14,47,final_mean_infected_per_hh,2.4091,2.3659,2.4522,percentile_interval_across_phase05_runs,3
smoke,gnn,14,47,reduction_vs_baseline_pct,28.4883,26.4331,31.5768,percentile_interval_across_phase05_runs,3
smoke,gnn,14,47,prevention_rate_pct,36.6013,36.6013,36.6013,percentile_interval_across_phase05_runs,3
smoke,gnn,15,51,final_mean_infected_per_hh,2.447,2.3591,2.4994,percentile_interval_across_phase05_runs,3
smoke,gnn,15,51,reduction_vs_baseline_pct,27.3349,23.7437,31.8377,percentile_interval_across_phase05_runs,3
smoke,gnn,15,51,prevention_rate_pct,39.8693,39.8693,39.8693,percentile_interval_across_phase05_runs,3
smoke,gnn,16,54,final_mean_infected_per_hh,2.3561,2.2767,2.4387,percentile_interval_across_phase05_runs,3
smoke,gnn,16,54,reduction_vs_baseline_pct,30.0977,28.1942,32.5023,percentile_interval_across_phase05_runs,3
smoke,gnn,16,54,prevention_rate_pct,42.4837,42.4837,42.4837,percentile_interval_across_phase05_runs,3
smoke,gnn,17,57,final_mean_infected_per_hh,2.3523,2.3205,2.3744,percentile_interval_across_phase05_runs,3
smoke,gnn,17,57,reduction_vs_baseline_pct,30.2028,29.2067,31.3999,percentile_interval_across_phase05_runs,3
smoke,gnn,17,57,prevention_rate_pct,43.7908,43.7908,43.7908,percentile_interval_across_phase05_runs,3
smoke,gnn,18,61,final_mean_infected_per_hh,2.3447,2.3079,2.3943,percentile_interval_across_phase05_runs,3
smoke,gnn,18,61,reduction_vs_baseline_pct,30.419,28.9841,32.6233,percentile_interval_across_phase05_runs,3
smoke,gnn,18,61,prevention_rate_pct,48.366,48.366,48.366,percentile_interval_across_phase05_runs,3
smoke,gnn,19,64,final_mean_infected_per_hh,2.1439,2.008,2.267,percentile_interval_across_phase05_runs,3
smoke,gnn,19,64,reduction_vs_baseline_pct,36.3982,34.0477,40.425,percentile_interval_across_phase05_runs,3
smoke,gnn,19,64,prevention_rate_pct,54.2484,54.2484,54.2484,percentile_interval_across_phase05_runs,3
smoke,gnn,20,68,final_mean_infected_per_hh,2.1818,2.1181,2.2262,percentile_interval_across_phase05_runs,3
smoke,gnn,20,68,reduction_vs_baseline_pct,35.2782,34.7169,35.7216,percentile_interval_across_phase05_runs,3
smoke,gnn,20,68,prevention_rate_pct,54.2484,54.2484,54.2484,percentile_interval_across_phase05_runs,3
smoke,random,1,3,final_mean_infected_per_hh,3.3636,3.3318,3.3858,percentile_interval_across_phase05_runs,3
smoke,random,1,3,reduction_vs_baseline_pct,0.1834,-1.6661,2.475,percentile_interval_across_phase05_runs,3
smoke,random,1,3,prevention_rate_pct,3.7037,1.4706,5.1961,percentile_interval_across_phase05_runs,3
smoke,random,2,6,final_mean_infected_per_hh,3.2197,3.1301,3.3028,percentile_interval_across_phase05_runs,3
smoke,random,2,6,reduction_vs_baseline_pct,4.4937,4.3839,4.5864,percentile_interval_across_phase05_runs,3
smoke,random,2,6,prevention_rate_pct,5.4466,4.5752,7.0588,percentile_interval_across_phase05_runs,3
smoke,random,3,10,final_mean_infected_per_hh,3.2917,3.2614,3.3478,percentile_interval_across_phase05_runs,3
smoke,random,3,10,reduction_vs_baseline_pct,2.2793,-2.1407,5.7749,percentile_interval_across_phase05_runs,3
smoke,random,3,10,prevention_rate_pct,11.7647,10.4902,13.5948,percentile_interval_across_phase05_runs,3
smoke,random,4,13,final_mean_infected_per_hh,3.1591,3.084,3.2245,percentile_interval_across_phase05_runs,3
smoke,random,4,13,reduction_vs_baseline_pct,6.199,1.6225,10.8932,percentile_interval_across_phase05_runs,3
smoke,random,4,13,prevention_rate_pct,16.5578,16.3399,16.9608,percentile_interval_across_phase05_runs,3
smoke,random,5,17,final_mean_infected_per_hh,3.1023,3.0233,3.2392,percentile_interval_across_phase05_runs,3
smoke,random,5,17,reduction_vs_baseline_pct,7.8637,1.1816,12.3579,percentile_interval_across_phase05_runs,3
smoke,random,5,17,prevention_rate_pct,15.9041,13.1699,19.379,percentile_interval_across_phase05_runs,3
smoke,random,6,20,final_mean_infected_per_hh,3.053,2.983,3.0909,percentile_interval_across_phase05_runs,3
smoke,random,6,20,reduction_vs_baseline_pct,9.3572,5.6987,13.8144,percentile_interval_across_phase05_runs,3
smoke,random,6,20,prevention_rate_pct,17.8649,15.1634,20.7516,percentile_interval_across_phase05_runs,3
smoke,random,7,23,final_mean_infected_per_hh,2.9811,2.9228,3.0523,percentile_interval_across_phase05_runs,3
smoke,random,7,23,reduction_vs_baseline_pct,11.5134,9.3776,15.4222,percentile_interval_across_phase05_runs,3
smoke,random,7,23,prevention_rate_pct,23.9652,17.451,28.6275,percentile_interval_across_phase05_runs,3
smoke,random,8,27,final_mean_infected_per_hh,2.8447,2.7852,2.9364,percentile_interval_across_phase05_runs,3
smoke,random,8,27,reduction_vs_baseline_pct,15.6088,14.2784,17.3871,percentile_interval_across_phase05_runs,3
smoke,random,8,27,prevention_rate_pct,26.5795,21.3072,30.0,percentile_interval_across_phase05_runs,3
smoke,random,9,30,final_mean_infected_per_hh,2.875,2.854,2.8864,percentile_interval_across_phase05_runs,3
smoke,random,9,30,reduction_vs_baseline_pct,14.6822,12.9287,16.6091,percentile_interval_across_phase05_runs,3
smoke,random,9,30,prevention_rate_pct,30.0654,29.4445,30.6863,percentile_interval_across_phase05_runs,3
smoke,random,10,34,final_mean_infected_per_hh,2.7841,2.6534,2.9341,percentile_interval_across_phase05_runs,3
smoke,random,10,34,reduction_vs_baseline_pct,17.4186,15.1092,21.2526,percentile_interval_across_phase05_runs,3
smoke,random,10,34,prevention_rate_pct,33.769,31.4705,36.4379,percentile_interval_across_phase05_runs,3
smoke,random,11,37,final_mean_infected_per_hh,2.6742,2.6164,2.7352,percentile_interval_across_phase05_runs,3
smoke,random,11,37,reduction_vs_baseline_pct,20.6484,18.5318,22.4801,percentile_interval_across_phase05_runs,3
smoke,random,11,37,prevention_rate_pct,35.7298,32.1895,39.6405,percentile_interval_across_phase05_runs,3
smoke,random,12,40,final_mean_infected_per_hh,2.6629,2.6261,2.7125,percentile_interval_across_phase05_runs,3
smoke,random,12,40,reduction_vs_baseline_pct,20.9627,19.1188,24.0256,percentile_interval_across_phase05_runs,3
smoke,random,12,40,prevention_rate_pct,33.7691,30.2942,36.5033,percentile_interval_across_phase05_runs,3
smoke,random,13,44,final_mean_infected_per_hh,2.6061,2.5284,2.658,percentile_interval_across_phase05_runs,3
smoke,random,13,44,reduction_vs_baseline_pct,22.6456,19.0092,25.1866,percentile_interval_across_phase05_runs,3
smoke,random,13,44,prevention_rate_pct,41.3943,36.8627,45.5555,percentile_interval_across_phase05_runs,3
smoke,random,14,47,final_mean_infected_per_hh,2.6553,2.6256,2.7011,percentile_interval_across_phase05_runs,3
smoke,random,14,47,reduction_vs_baseline_pct,21.1907,19.4654,24.0424,percentile_interval_across_phase05_runs,3
smoke,random,14,47,prevention_rate_pct,40.0872,26.3072,52.3856,percentile_interval_across_phase05_runs,3
smoke,random,15,51,final_mean_infected_per_hh,2.5758,2.4489,2.7188,percentile_interval_across_phase05_runs,3
smoke,random,15,51,reduction_vs_baseline_pct,23.5019,17.1448,27.5404,percentile_interval_across_phase05_runs,3
smoke,random,15,51,prevention_rate_pct,45.3159,40.719,50.6536,percentile_interval_across_phase05_runs,3
smoke,random,16,54,final_mean_infected_per_hh,2.4849,2.4443,2.5415,percentile_interval_across_phase05_runs,3
smoke,random,16,54,reduction_vs_baseline_pct,26.2596,24.6175,28.6772,percentile_interval_across_phase05_runs,3
smoke,random,16,54,prevention_rate_pct,50.7625,47.0588,57.6143,percentile_interval_across_phase05_runs,3
smoke,random,17,57,final_mean_infected_per_hh,2.4773,2.4432,2.5404,percentile_interval_across_phase05_runs,3
smoke,random,17,57,reduction_vs_baseline_pct,26.4782,24.6175,29.3001,percentile_interval_across_phase05_runs,3
smoke,random,17,57,prevention_rate_pct,52.7233,48.6274,56.0785,percentile_interval_across_phase05_runs,3
smoke,random,18,61,final_mean_infected_per_hh,2.4129,2.3,2.5483,percentile_interval_across_phase05_runs,3
smoke,random,18,61,reduction_vs_baseline_pct,28.3654,24.3844,33.4361,percentile_interval_across_phase05_runs,3
smoke,random,18,61,prevention_rate_pct,53.8126,48.464,62.1242,percentile_interval_across_phase05_runs,3
smoke,random,19,64,final_mean_infected_per_hh,2.3523,2.3193,2.3949,percentile_interval_across_phase05_runs,3
smoke,random,19,64,reduction_vs_baseline_pct,30.1635,26.9313,32.991,percentile_interval_across_phase05_runs,3
smoke,random,19,64,prevention_rate_pct,54.2483,49.4118,56.8627,percentile_interval_across_phase05_runs,3
smoke,random,20,68,final_mean_infected_per_hh,2.2235,2.1318,2.283,percentile_interval_across_phase05_runs,3
smoke,random,20,68,reduction_vs_baseline_pct,33.9645,30.3477,38.4039,percentile_interval_across_phase05_runs,3
smoke,random,20,68,prevention_rate_pct,57.9521,52.0915,61.4052,percentile_interval_across_phase05_runs,3
